ac_code,ac_name_en,district,pc_name_en,reserved,name_ta
GUMMIDIPOONDI,Gummidipoondi,Thiruvallur,Tiruvallur,,கும்மிடிப்பூண்டி
PONNERI,Ponneri,Thiruvallur,Tiruvallur,SC,பொன்னேரி
TIRUTTANI,Tiruttani,Thiruvallur,Arakkonam,,திருத்தணி
THIRUVALLUR,Thiruvallur,Thiruvallur,Tiruvallur,,திருவள்ளூர்
POONAMALLEE,Poonamallee,Thiruvallur,Tiruvallur,,பூந்தமல்லி
AVADI,Avadi,Thiruvallur,Tiruvallur,,ஆவடி
MADURAVOYAL,Maduravoyal,Chennai,Sriperumbudur,,மதுரவாயல்
AMBATTUR,Ambattur,Chennai,Sriperumbudur,,அம்பத்தூர்
MADAVARAM,Madavaram,Chennai,Tiruvallur,,மாதவரம்
THIRUVOTTIYUR,Thiruvottiyur,Chennai,Chennai North,,திருவொற்றியூர்
DR_RADHAKRISHNAN_NAGAR,Dr. Radhakrishnan Nagar,Chennai,Chennai North,,டாக்டர் ராதாகிருஷ்ணன் நகர்
PERAMBUR,Perambur,Chennai,Chennai North,,பெரம்பூர்
KOLATHUR,Kolathur,Chennai,Chennai North,,கொளத்தூர்
VILLIVAKKAM,Villivakkam,Chennai,Chennai Central,,வில்லிவாக்கம்
THIRU_VI_KA_NAGAR,Thiru-Vi-Ka-Nagar,Chennai,Chennai North,,திரு.வி.க. நகர்
EGMORE,Egmore,Chennai,Chennai Central,SC,எழும்பூர்
ROYAPURAM,Royapuram,Chennai,Chennai North,,ராயபுரம்
HARBOUR,Harbour,Chennai,Chennai Central,,துறைமுகம்
CHEPAUK_THIRUVALLIKENI,Chepauk-Thiruvallikeni,Chennai,Chennai Central,,சேப்பாக்கம்-திருவல்லிக்கேணி
THOUSAND_LIGHTS,Thousand Lights,Chennai,Chennai Central,,ஆயிரம் விளக்கு
ANNA_NAGAR,Anna Nagar,Chennai,Chennai Central,,அண்ணா நகர்
VIRUGAMPAKKAM,Virugampakkam,Chennai,Chennai South,,விருகம்பாக்கம்
SAIDAPET,Saidapet,Chennai,Chennai South,,சைதாப்பேட்டை
THIYAGARAYANAGAR,Thiyagarayanagar,Chennai,Chennai South,,தியாகராய நகர்
MYLAPORE,Mylapore,Chennai,Chennai South,,மயிலாப்பூர்
VELACHERY,Velachery,Chennai,Chennai South,,வேளச்சேரி
SHOLINGANALLUR,Sholinganallur,Chennai,Chennai South,,சோளிங்கநல்லூர்
ALANDUR,Alandur,Chennai,Sriperumbudur,,ஆலந்தூர்
SRIPERUMBUDUR,Sriperumbudur,Kancheepuram,Sriperumbudur,,ஸ்ரீபெரும்புதூர்
PALLAVARAM,Pallavaram,Chengalpattu,Sriperumbudur,,பல்லாவரம்
TAMBARAM,Tambaram,Chengalpattu,Sriperumbudur,,தாம்பரம்
CHENGALPATTU,Chengalpattu,Chengalpattu,Kanchipuram,,செங்கல்பட்டு
THIRUPORUR,Thiruporur,Chengalpattu,Kanchipuram,,திருப்போரூர்
CHEYYUR,Cheyyur,Chengalpattu,Kanchipuram,,செய்யூர்
MADURANTAKAM,Madurantakam,Chengalpattu,Kanchipuram,,மதுராந்தகம்
UTHIRAMERUR,Uthiramerur,Kancheepuram,Kanchipuram,,உத்திரமேரூர்
KANCHEEPURAM,Kancheepuram,Kancheepuram,Kanchipuram,,காஞ்சிபுரம்
ARAKKONAM,Arakkonam,Ranipet,Arakkonam,,அரக்கோணம்
SHOLINGUR,Sholingur,Ranipet,Arakkonam,,சோளிங்கர்
KATPADI,Katpadi,Vellore,Arakkonam,,காட்பாடி
RANIPET,Ranipet,Ranipet,Arakkonam,,ராணிப்பேட்டை
ARCOT,Arcot,Ranipet,Arakkonam,,ஆற்காடு
