district_code,district_name_en,district_name_ta
ARIYALUR,Ariyalur,அரியலூர்
CHENGALPATTU,Chengalpattu,செங்கல்பட்டு
CHENNAI,Chennai,சென்னை
COIMBATORE,Coimbatore,கோயம்புத்தூர்
CUDDALORE,Cuddalore,கடலூர்
DHARMAPURI,Dharmapuri,தருமபுரி
DINDIGUL,Dindigul,திண்டுக்கல்
ERODE,Erode,ஈரோடு
KALLAKURICHI,Kallakurichi,கள்ளக்குறிச்சி
KANCHEEPURAM,Kancheepuram,காஞ்சிபுரம்
KANNIYAKUMARI,Kanniyakumari,கன்னியாகுமரி
KARUR,Karur,கரூர்
KRISHNAGIRI,Krishnagiri,கிருஷ்ணகிரி
MADURAI,Madurai,மதுரை
MAYILADUTHURAI,Mayiladuthurai,மயிலாடுதுறை
NAGAPATTINAM,Nagapattinam,நாகப்பட்டினம்
NAMAKKAL,Namakkal,நாமக்கல்
THE_NILGIRIS,The Nilgiris,நீலகிரி
PERAMBALUR,Perambalur,பெரம்பலூர்
PUDUKKOTTAI,Pudukkottai,புதுக்கோட்டை
RAMANATHAPURAM,Ramanathapuram,இராமநாதபுரம்
RANIPET,Ranipet,இராணிப்பேட்டை
SALEM,Salem,சேலம்
SIVAGANGAI,Sivagangai,சிவகங்கை
TENKASI,Tenkasi,தென்காசி
THANJAVUR,Thanjavur,தஞ்சாவூர்
THENI,Theni,தேனி
THOOTHUKUDI,Thoothukudi,தூத்துக்குடி
TIRUCHIRAPPALLI,Tiruchirappalli,திருச்சிராப்பள்ளி
TIRUNELVELI,Tirunelveli,திருநெல்வேலி
TIRUPATHUR,Tirupathur,திருப்பத்தூர்
TIRUPPUR,Tiruppur,திருப்பூர்
TIRUVALLUR,Tiruvallur,திருவள்ளூர்
TIRUVANNAMALAI,Tiruvannamalai,திருவண்ணாமலை
TIRUVARUR,Tiruvarur,திருவாரூர்
VELLORE,Vellore,வேலூர்
VILUPPURAM,Viluppuram,விழுப்புரம்
VIRUDHUNAGAR,Virudhunagar,விருதுநகர்
