pc_code,pc_name_en,pc_name_ta
THIRUVALLUR,Thiruvallur,திருவள்ளூர்
CHENNAI_NORTH,Chennai North,வட சென்னை
CHENNAI_SOUTH,Chennai South,தென் சென்னை
CHENNAI_CENTRAL,Chennai Central,மத்திய சென்னை
SRIPERUMBUDUR,Sriperumbudur,திருப்பெரும்புதூர்
KANCHEEPURAM,Kancheepuram,காஞ்சிபுரம்
ARAKKONAM,Arakkonam,அரக்கோணம்
VELLORE,Vellore,வேலூர்
KRISHNAGIRI,Krishnagiri,கிருஷ்ணகிரி
DHARMAPURI,Dharmapuri,தர்மபுரி
TIRUVANNAMALAI,Tiruvannamalai,திருவண்ணாமலை
ARANI,Arani,ஆரணி
VILLUPURAM,Villupuram,விழுப்புரம்
KALLAKURICHI,Kallakurichi,கள்ளக்குறிச்சி
SALEM,Salem,சேலம்
NAMAKKAL,Namakkal,நாமக்கல்
ERODE,Erode,ஈரோடு
TIRUPPUR,Tiruppur,திருப்பூர்
NILGIRIS,Nilgiris,நீலகிரி
COIMBATORE,Coimbatore,கோயம்புத்தூர்
POLLACHI,Pollachi,பொள்ளாச்சி
DINDIGUL,Dindigul,திண்டுக்கல்
KARUR,Karur,கரூர்
TIRUCHIRAPPALLI,Tiruchirappalli,திருச்சிராப்பள்ளி
PERAMBALUR,Perambalur,பெரம்பலூர்
CUDDALORE,Cuddalore,கடலூர்
CHIDAMBARAM,Chidambaram,சிதம்பரம்
MAYILADUTHURAI,Mayiladuthurai,மயிலாடுதுறை
NAGAPATTINAM,Nagapattinam,நாகப்பட்டினம்
THANJAVUR,Thanjavur,தஞ்சாவூர்
SIVAGANGA,Sivaganga,சிவகங்கை
MADURAI,Madurai,மதுரை
THENI,Theni,தேனி
VIRUDHUNAGAR,Virudhunagar,விருதுநகர்
RAMANATHAPURAM,Ramanathapuram,ராமநாதபுரம்
THOOTHUKKUDI,Thoothukkudi,தூத்துக்குடி
TENKASI,Tenkasi,தென்காசி
TIRUNELVELI,Tirunelveli,திருநெல்வேலி
KANNIYAKUMARI,Kanniyakumari,கன்னியாகுமரி
