district_code,taluk_code,taluk_name_en,name_ta
ARIYALUR,ARIYALUR_ARIYALUR,Ariyalur,அரியலூர்
ARIYALUR,ARIYALUR_UDAYARPALAYAM,Udayarpalayam,உடையார்பாளையம்
ARIYALUR,ARIYALUR_ANDIMADAM,Andimadam,ஆண்டிமடம்
ARIYALUR,ARIYALUR_SENDURAI,Sendurai,செந்துறை
CHENGALPATTU,CHENGALPATTU_PALLAVARAM,Pallavaram,பல்லாவரம்
CHENGALPATTU,CHENGALPATTU_TAMBARAM,Tambaram,தாம்பரம்
CHENGALPATTU,CHENGALPATTU_VANDALUR,Vandalur,வண்டலூர்
CHENGALPATTU,CHENGALPATTU_CHENGALPATTU,Chengalpattu,செங்கல்பட்டு
CHENGALPATTU,CHENGALPATTU_THIRUPORUR,Thiruporur,திருப்போரூர்
CHENGALPATTU,CHENGALPATTU_TIRUKALUKUNDRAM,Tirukalukundram,திருக்கழுகுன்றம்
CHENGALPATTU,CHENGALPATTU_MADURANTAKAM,Madurantakam,மதுராந்தகம்
CHENGALPATTU,CHENGALPATTU_CHEYYUR,Cheyyur,செய்யூர்
CHENNAI,CHENNAI_TONDIARPET,Tondiarpet,தண்டையார்பேட்டை
CHENNAI,CHENNAI_TIRUVOTTIYUR,Tiruvottiyur,திருவொற்றியூர்
CHENNAI,CHENNAI_PERAMBUR,Perambur,பெரம்பூர்
CHENNAI,CHENNAI_MADHAVARAM,Madhavaram,மாதவரம்
CHENNAI,CHENNAI_PURASAWALKAM,Purasawalkam,புரசைவாக்கம்
CHENNAI,CHENNAI_AMBATTUR,Ambattur,அம்பத்தூர்
CHENNAI,CHENNAI_AYANAVARAM,Ayanavaram,அயனாவரம்
CHENNAI,CHENNAI_EGMORE,Egmore,எழும்பூர்
CHENNAI,CHENNAI_AMINJIKARAI,Aminjikarai,அமைந்தக்கரை
CHENNAI,CHENNAI_MAMBALAM,Mambalam,மாம்பலம்
CHENNAI,CHENNAI_MADURAVOYAL,Maduravoyal,மதுரவாயல்
CHENNAI,CHENNAI_GUINDY,Guindy,கிண்டி
CHENNAI,CHENNAI_ALANDUR,Alandur,ஆலந்தூர்
CHENNAI,CHENNAI_SHOLINGANALLUR,Sholinganallur,சோழிங்கநல்லூர்
CHENNAI,CHENNAI_MYLAPORE,Mylapore,மயிலாப்பூர்
CHENNAI,CHENNAI_VELACHERY,Velachery,வேளச்சேரி
COIMBATORE,COIMBATORE_METTUPALAYAM,Mettupalayam,மேட்டுப்பாளையம்
COIMBATORE,COIMBATORE_COIMBATORE_NORTH,Coimbatore North,கோயம்புத்தூர் வடக்கு
COIMBATORE,COIMBATORE_ANNUR,Annur,அன்னூர்
COIMBATORE,COIMBATORE_COIMBATORE_SOUTH,Coimbatore South,கோயம்புத்தூர் தெற்கு
COIMBATORE,COIMBATORE_PERUR,Perur,பேரூர்
COIMBATORE,COIMBATORE_MADUKKARAI,Madukkarai,மதுக்கரை
COIMBATORE,COIMBATORE_SULUR,Sulur,சூலூர்
COIMBATORE,COIMBATORE_POLLACHI,Pollachi,பொள்ளாச்சி
COIMBATORE,COIMBATORE_KINATHUKADAVU,Kinathukadavu,கிணத்துக்கடவு
COIMBATORE,COIMBATORE_VALPARAI,Valparai,வால்பாறை
COIMBATORE,COIMBATORE_ANAIMALAI,Anaimalai,ஆனைமலை
CUDDALORE,CUDDALORE_PANRUTI,Panruti,பண்ருட்டி
CUDDALORE,CUDDALORE_CUDDALORE,Cuddalore,கடலூர்
CUDDALORE,CUDDALORE_KURINJIPADI,Kurinjipadi,குறிஞ்சிப்பாடி
CUDDALORE,CUDDALORE_CHIDAMBARAM,Chidambaram,சிதம்பரம்
CUDDALORE,CUDDALORE_KATTUMANNARKOIL,Kattumannarkoil,காட்டுமன்னார்கோயில்
CUDDALORE,CUDDALORE_BHUVANAGIRI,Bhuvanagiri,புவனகிரி
CUDDALORE,CUDDALORE_SRIMUSHNAM,Srimushnam,ஸ்ரீமுஷ்ணம்
CUDDALORE,CUDDALORE_VRIDDACHALAM,Vriddachalam,விருத்தாச்சலம்
CUDDALORE,CUDDALORE_TITTAKUDI,Tittakudi,திட்டக்குடி
CUDDALORE,CUDDALORE_VEPPUR,Veppur,வேப்பூர்
DHARMAPURI,DHARMAPURI_HARUR,Harur,அரூர்
DHARMAPURI,DHARMAPURI_PAPPIREDDIPATTI,Pappireddipatti,பாப்பிரெட்டிப்பட்டி
DHARMAPURI,DHARMAPURI_DHARMAPURI,Dharmapuri,தருமபுரி
DHARMAPURI,DHARMAPURI_PALACODE,Palacode,பாலக்கோடு
DHARMAPURI,DHARMAPURI_PENNAGARAM,Pennagaram,பென்னாகரம்
DHARMAPURI,DHARMAPURI_NALLAMPALLI,Nallampalli,நல்லம்பள்ளி
DHARMAPURI,DHARMAPURI_KARIMANGALAM,Karimangalam,காரிமங்கலம்
DINDIGUL,DINDIGUL_DINDIGUL_EAST,Dindigul East,திண்டுக்கல் கிழக்கு
DINDIGUL,DINDIGUL_DINDIGUL_WEST,Dindigul West,திண்டுக்கல் மேற்கு
DINDIGUL,DINDIGUL_NATHAM,Natham,நத்தம்
DINDIGUL,DINDIGUL_ATHOOR,Athoor,ஆத்தூர்
DINDIGUL,DINDIGUL_NILAKKOTTAI,Nilakkottai,நிலக்கோட்டை
DINDIGUL,DINDIGUL_PALANI,Palani,பழனி
DINDIGUL,DINDIGUL_ODDANCHATRAM,Oddanchatram,ஒட்டன்சத்திரம்
DINDIGUL,DINDIGUL_VEDASANDUR,Vedasandur,வேடசந்தூர்
DINDIGUL,DINDIGUL_GUJILIAMPARAI,Gujiliamparai,குஜிலியம்பாறை
DINDIGUL,DINDIGUL_KODAIKANAL,Kodaikanal,கொடைக்கானல்
ERODE,ERODE_ERODE,Erode,ஈரோடு
