type,name_en,district,name_ta
CORPORATION,Greater Chennai,Chennai,சென்னை
CORPORATION,Madurai,Madurai,மதுரை
CORPORATION,Coimbatore,Coimbatore,கோயம்புத்தூர்
CORPORATION,Tiruchirappalli,Tiruchirappalli,திருச்சிராப்பள்ளி
CORPORATION,Salem,Salem,சேலம்
CORPORATION,Tirunelveli,Tirunelveli,திருநெல்வேலி
CORPORATION,Vellore,Vellore,வேலூர்
CORPORATION,Tiruppur,Tiruppur,திருப்பூர்
CORPORATION,Erode,Erode,ஈரோடு
CORPORATION,Thoothukudi,Thoothukudi,தூத்துக்குடி
CORPORATION,Dindigul,Dindigul,திண்டுக்கல்
CORPORATION,Thanjavur,Thanjavur,தஞ்சாவூர்
CORPORATION,Nagercoil,Kanyakumari,நாகர்கோவில்
CORPORATION,Hosur,Krishnagiri,ஓசூர்
CORPORATION,Avadi,Thiruvallur,அவடி
CORPORATION,Kumbakonam,Thanjavur,கும்பகோணம்
CORPORATION,Cuddalore,Cuddalore,கடலூர்
CORPORATION,Kancheepuram,Kancheepuram,காஞ்சிபுரம்
CORPORATION,Karur,Karur,கரூர்
CORPORATION,Sivakasi,Virudhunagar,சிவகாசி
CORPORATION,Tambaram,Chengalpattu,தாம்பரம்
CORPORATION,Karaikudi,Sivaganga,காரைக்குடி
CORPORATION,Namakkal,Namakkal,நாமக்கல்
CORPORATION,Pudukkottai,Pudukkottai,புதுக்கோட்டை
CORPORATION,Tiruvannamalai,Tiruvannamalai,திருவண்ணாமலை
MUNICIPALITY,Tiruvallur,Thiruvallur,திருவள்ளூர்
MUNICIPALITY,Tiruttani,Thiruvallur,திருத்தணி
MUNICIPALITY,Ponneri,Thiruvallur,பொன்னேரி
MUNICIPALITY,Naravarikuppam,Thiruvallur,நரவரிக்குப்பம்
MUNICIPALITY,Veppampattu,Thiruvallur,வேப்பம்பட்டு
MUNICIPALITY,Chengalpattu,Chengalpattu,செங்கல்பட்டு
MUNICIPALITY,Maduranthakam,Chengalpattu,மதுராந்தகம்
MUNICIPALITY,Mamallapuram,Chengalpattu,மாமல்லபுரம்
MUNICIPALITY,Maraimalai Nagar,Chengalpattu,மறைமலைநகர்
MUNICIPALITY,Nandivaram-Guduvancheri,Chengalpattu,நந்திவரம் - கூடுவாஞ்சேரி
MUNICIPALITY,Kundrathur,Kanchipuram,குன்றத்தூர்
MUNICIPALITY,Mangadu,Kanchipuram,மாங்காடு
MUNICIPALITY,Sriperumbudur,Kanchipuram,திருப்பெரும்புதூர்
MUNICIPALITY,Chidambaram,Cuddalore,சிதம்பரம்
MUNICIPALITY,Panruti,Cuddalore,பண்ணுருட்டி
MUNICIPALITY,Nellikuppam,Cuddalore,நெல்லிக்குப்பம்
MUNICIPALITY,Tittakudi,Cuddalore,திட்டக்குடி
